Label (-/P/C/?) ,Concept,Category/List Page Title,URL
P,Buddhism,Category:Taiwanese_Buddhists,https://en.wikipedia.org/wiki/Category:Taiwanese_Buddhists
P,Buddhism,Category:Taiwanese_Zen_Buddhists,https://en.wikipedia.org/wiki/Category:Taiwanese_Zen_Buddhists
P,Buddhism,Category:Tang_dynasty_Buddhist_monks,https://en.wikipedia.org/wiki/Category:Tang_dynasty_Buddhist_monks
P,Buddhism,Category:Tang_dynasty_Buddhists,https://en.wikipedia.org/wiki/Category:Tang_dynasty_Buddhists
P,Buddhism,Category:Tertons,https://en.wikipedia.org/wiki/Category:Tertons
P,Buddhism,Category:Thai_Buddhist_monks,https://en.wikipedia.org/wiki/Category:Thai_Buddhist_monks
P,Buddhism,Category:Thai_Buddhist_teachers,https://en.wikipedia.org/wiki/Category:Thai_Buddhist_teachers
P,Buddhism,Category:Thai_Buddhists,https://en.wikipedia.org/wiki/Category:Thai_Buddhists
-,Buddhism,Category:Thai_Forest_Tradition,https://en.wikipedia.org/wiki/Category:Thai_Forest_Tradition
P,Buddhism,Category:Thai_Theravada_Buddhists,https://en.wikipedia.org/wiki/Category:Thai_Theravada_Buddhists
P,Buddhism,Category:Theravada_Buddhism_writers,https://en.wikipedia.org/wiki/Category:Theravada_Buddhism_writers
P,Buddhism,Category:Theravada_Buddhist_monks,https://en.wikipedia.org/wiki/Category:Theravada_Buddhist_monks
P,Buddhism,Category:Theravada_Buddhist_teachers,https://en.wikipedia.org/wiki/Category:Theravada_Buddhist_teachers
P,Buddhism,Category:Thi%E1%BB%81n_Buddhists,https://en.wikipedia.org/wiki/Category:Thi%E1%BB%81n_Buddhists
-,Buddhism,Category:Tibetan_Buddhism,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhism
P,Buddhism,Category:Tibetan_Buddhism_writers,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhism_writers
P,Buddhism,Category:Tibetan_Buddhist_nuns,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhist_nuns
P,Buddhism,Category:Tibetan_Buddhist_teachers,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhist_teachers
P,Buddhism,Category:Tibetan_Buddhist_yogis,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhist_yogis
P,Buddhism,Category:Tibetan_Buddhists,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhists
P,Buddhism,Category:Tibetan_Buddhists_from_Bhutan,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhists_from_Bhutan
P,Buddhism,Category:Tibetan_Buddhists_from_England,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhists_from_England
P,Buddhism,Category:Tibetan_Buddhists_from_India,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhists_from_India
P,Buddhism,Category:Tibetan_Buddhists_from_Mongolia,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhists_from_Mongolia
P,Buddhism,Category:Tibetan_Buddhists_from_Nepal,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhists_from_Nepal
P,Buddhism,Category:Tibetan_Buddhists_from_Russia,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhists_from_Russia
P,Buddhism,Category:Tibetan_Buddhists_from_the_United_States,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhists_from_the_United_States
P,Buddhism,Category:Tibetan_Buddhists_from_Tibet,https://en.wikipedia.org/wiki/Category:Tibetan_Buddhists_from_Tibet
P,Buddhism,Category:Tulkus,https://en.wikipedia.org/wiki/Category:Tulkus
P,Buddhism,Category:Vietnamese_Buddhist_monks,https://en.wikipedia.org/wiki/Category:Vietnamese_Buddhist_monks
P,Buddhism,Category:Vietnamese_Buddhists,https://en.wikipedia.org/wiki/Category:Vietnamese_Buddhists
P,Buddhism,Category:Vietnamese_Zen_Buddhists,https://en.wikipedia.org/wiki/Category:Vietnamese_Zen_Buddhists
-,Buddhism,Category:White_Plum_Asanga,https://en.wikipedia.org/wiki/Category:White_Plum_Asanga
-,Buddhism,Category:Zen,https://en.wikipedia.org/wiki/Category:Zen
P,Buddhism,Category:Zen_Buddhism_writers,https://en.wikipedia.org/wiki/Category:Zen_Buddhism_writers
P,Buddhism,Category:Zen_Buddhist_monks_and_priests,https://en.wikipedia.org/wiki/Category:Zen_Buddhist_monks_and_priests
P,Buddhism,Category:Zen_Buddhist_teachers,https://en.wikipedia.org/wiki/Category:Zen_Buddhist_teachers
-,Buddhism,List_of_Buddhist_temples_in_Hanoi,https://en.wikipedia.org/wiki/List_of_Buddhist_temples_in_Hanoi
P,Buddhism,List_of_Buddhists,https://en.wikipedia.org/wiki/List_of_Buddhists
P,Buddhism,List_of_converts_to_Buddhism,https://en.wikipedia.org/wiki/List_of_converts_to_Buddhism
P,Buddhism,List_of_converts_to_Buddhism_from_Christianity,https://en.wikipedia.org/wiki/List_of_converts_to_Buddhism_from_Christianity
P,Buddhism,List_of_converts_to_Buddhism_from_Hinduism,https://en.wikipedia.org/wiki/List_of_converts_to_Buddhism_from_Hinduism
?,Buddhism,List_of_former_Buddhists,https://en.wikipedia.org/wiki/List_of_former_Buddhists
P,Buddhism,List_of_Korean_Buddhists,https://en.wikipedia.org/wiki/List_of_Korean_Buddhists
?,Buddhism,List_of_modern_scholars_in_Buddhist_studies,https://en.wikipedia.org/wiki/List_of_modern_scholars_in_Buddhist_studies
P,Buddhism,List_of_Rinzai_Buddhists,https://en.wikipedia.org/wiki/List_of_Rinzai_Buddhists
?,Buddhism,List_of_writers_on_Buddhism,https://en.wikipedia.org/wiki/List_of_writers_on_Buddhism
C,Capital punishment,Category:American_anti%E2%80%93death_penalty_activists,https://en.wikipedia.org/wiki/Category:American_anti%E2%80%93death_penalty_activists
?,Capital punishment,Category:American_executioners,https://en.wikipedia.org/wiki/Category:American_executioners
C,Capital punishment,Category:Anti%E2%80%93death_penalty_activists,https://en.wikipedia.org/wiki/Category:Anti%E2%80%93death_penalty_activists
C,Capital punishment,Category:British_anti%E2%80%93death_penalty_activists,https://en.wikipedia.org/wiki/Category:British_anti%E2%80%93death_penalty_activists
-,Capital punishment,Category:Capital_murder_cases,https://en.wikipedia.org/wiki/Category:Capital_murder_cases
-,Capital punishment,Category:Capital_punishment_and_anti-Catholicism,https://en.wikipedia.org/wiki/Category:Capital_punishment_and_anti-Catholicism
-,Capital punishment,Category:Capital_punishment_in_the_United_States,https://en.wikipedia.org/wiki/Category:Capital_punishment_in_the_United_States
?,Capital punishment,Category:Execution_survivors,https://en.wikipedia.org/wiki/Category:Execution_survivors
?,Capital punishment,Category:Executioners,https://en.wikipedia.org/wiki/Category:Executioners
-,Capital punishment,Category:Extrajudicial_killings,https://en.wikipedia.org/wiki/Category:Extrajudicial_killings
?,Capital punishment,Category:Forty_Martyrs_of_England_and_Wales,https://en.wikipedia.org/wiki/Category:Forty_Martyrs_of_England_and_Wales
C,Capital punishment,Category:French_anti%E2%80%93death_penalty_activists,https://en.wikipedia.org/wiki/Category:French_anti%E2%80%93death_penalty_activists
?,Capital punishment,Category:French_executioners,https://en.wikipedia.org/wiki/Category:French_executioners
C,Capital punishment,Category:Iranian_anti%E2%80%93death_penalty_activists,https://en.wikipedia.org/wiki/Category:Iranian_anti%E2%80%93death_penalty_activists
C,Capital punishment,Category:Japanese_anti%E2%80%93death_penalty_activists,https://en.wikipedia.org/wiki/Category:Japanese_anti%E2%80%93death_penalty_activists
?,Capital punishment,Category:People_executed_by_China,https://en.wikipedia.org/wiki/Category:People_executed_by_China
?,Capital punishment,Category:People_executed_by_the_Soviet_Union,https://en.wikipedia.org/wiki/Category:People_executed_by_the_Soviet_Union
?,Capital punishment,Category:People_executed_for_apostasy,https://en.wikipedia.org/wiki/Category:People_executed_for_apostasy
?,Capital punishment,Category:People_executed_for_blasphemy,https://en.wikipedia.org/wiki/Category:People_executed_for_blasphemy
?,Capital punishment,Category:People_executed_for_heresy,https://en.wikipedia.org/wiki/Category:People_executed_for_heresy
X,Capital punishment,Category:People_executed_for_refusing_to_convert_to_Islam,https://en.wikipedia.org/wiki/Category:People_executed_for_refusing_to_convert_to_Islam
?,Capital punishment,Category:People_executed_for_sodomy,https://en.wikipedia.org/wiki/Category:People_executed_for_sodomy
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_Arizona,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_Arizona
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_California,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_California
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_Canada,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_Canada
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_Florida,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_Florida
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_France,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_France
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_Illinois,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_Illinois
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_Iran,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_Iran
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_Japan,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_Japan
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_Louisiana,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_Louisiana
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_Massachusetts,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_Massachusetts
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_Ohio,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_Ohio
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_Pennsylvania,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_Pennsylvania
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_South_Africa,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_South_Africa
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_Texas,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_Texas
?,Capital punishment,Category:Prisoners_sentenced_to_death_by_the_Soviet_Union,https://en.wikipedia.org/wiki/Category:Prisoners_sentenced_to_death_by_the_Soviet_Union
P,Capitalism,Category:American_venture_capitalists,https://en.wikipedia.org/wiki/Category:American_venture_capitalists
P,Capitalism,Category:Anarcho-capitalists,https://en.wikipedia.org/wiki/Category:Anarcho-capitalists
P,Capitalism,Category:British_venture_capitalists,https://en.wikipedia.org/wiki/Category:British_venture_capitalists
P,Capitalism,Category:Canadian_venture_capitalists,https://en.wikipedia.org/wiki/Category:Canadian_venture_capitalists
-,Capitalism,Category:Corporate_crime,https://en.wikipedia.org/wiki/Category:Corporate_crime
-,Capitalism,Category:Industrial_Workers_of_the_World,https://en.wikipedia.org/wiki/Category:Industrial_Workers_of_the_World
P,Capitalism,Category:Russian_capitalists,https://en.wikipedia.org/wiki/Category:Russian_capitalists
-,Capitalism,Category:Social_democracy,https://en.wikipedia.org/wiki/Category:Social_democracy
P,Capitalism,Category:Venture_capitalists,https://en.wikipedia.org/wiki/Category:Venture_capitalists
P,Censorship,Category:Censors,https://en.wikipedia.org/wiki/Category:Censors
-,Censorship,Category:Censorship_in_Romania,https://en.wikipedia.org/wiki/Category:Censorship_in_Romania
-,Censorship,Category:Censorship_in_the_arts,https://en.wikipedia.org/wiki/Category:Censorship_in_the_arts
-,Censorship,Category:Censorship_in_Turkey,https://en.wikipedia.org/wiki/Category:Censorship_in_Turkey
C,Censorship,Category:Free_speech_activists,https://en.wikipedia.org/wiki/Category:Free_speech_activists
-,Censorship,Category:Galileo_affair,https://en.wikipedia.org/wiki/Category:Galileo_affair
C,Censorship,Category:Jewish_Romanian_writers_banned_by_the_Antonescu_regime,https://en.wikipedia.org/wiki/Category:Jewish_Romanian_writers_banned_by_the_Antonescu_regime
-,Censorship,Category:Jyllands-Posten_Muhammad_cartoons_controversy,https://en.wikipedia.org/wiki/Category:Jyllands-Posten_Muhammad_cartoons_controversy
-,Censorship,Category:Obscenity_controversies,https://en.wikipedia.org/wiki/Category:Obscenity_controversies
?,Censorship,Category:Unpersons_in_the_Eastern_Bloc,https://en.wikipedia.org/wiki/Category:Unpersons_in_the_Eastern_Bloc
-,Censorship,Category:Video_game_censorship,https://en.wikipedia.org/wiki/Category:Video_game_censorship
-,Censorship,Category:WikiLeaks,https://en.wikipedia.org/wiki/Category:WikiLeaks
-,Circumcision,Category:Female_genital_mutilation,https://en.wikipedia.org/wiki/Category:Female_genital_mutilation
P,Circumcision,Category:Mohel,https://en.wikipedia.org/wiki/Category:Mohel
-,Clericalism,Category:Anti-clerical_art,https://en.wikipedia.org/wiki/Category:Anti-clerical_art
-,Cloning,Category:Cloning,https://en.wikipedia.org/wiki/Category:Cloning
?,Cloning,Category:Fictional_clones,https://en.wikipedia.org/wiki/Category:Fictional_clones
?,Cold War,Category:Admitted_Soviet_spies,https://en.wikipedia.org/wiki/Category:Admitted_Soviet_spies
P,Cold War,Category:American_Cold_War_spymasters,https://en.wikipedia.org/wiki/Category:American_Cold_War_spymasters
-,Cold War,Category:Anti-communism_in_the_United_States,https://en.wikipedia.org/wiki/Category:Anti-communism_in_the_United_States
-,Cold War,Category:Bangladesh_Liberation_War,https://en.wikipedia.org/wiki/Category:Bangladesh_Liberation_War
-,Cold War,Category:Berlin_Wall,https://en.wikipedia.org/wiki/Category:Berlin_Wall
-,Cold War,Category:Chadian%E2%80%93Libyan_conflict,https://en.wikipedia.org/wiki/Category:Chadian%E2%80%93Libyan_conflict
?,Cold War,Category:Cold_War_diplomats,https://en.wikipedia.org/wiki/Category:Cold_War_diplomats
?,Cold War,Category:Cold_War_historians,https://en.wikipedia.org/wiki/Category:Cold_War_historians
?,Cold War,Category:Cold_War_leaders,https://en.wikipedia.org/wiki/Category:Cold_War_leaders
P,Cold War,Category:Cold_War_spies,https://en.wikipedia.org/wiki/Category:Cold_War_spies
?,Cold War,Category:Cursed_soldiers,https://en.wikipedia.org/wiki/Category:Cursed_soldiers
-,Cold War,Category:Dirty_wars,https://en.wikipedia.org/wiki/Category:Dirty_wars
?,Cold War,Category:East_German_spies,https://en.wikipedia.org/wiki/Category:East_German_spies
-,Cold War,Category:Francoist_Spain,https://en.wikipedia.org/wiki/Category:Francoist_Spain
-,Cold War,Category:Indo-Pakistani_War_of_1965,https://en.wikipedia.org/wiki/Category:Indo-Pakistani_War_of_1965
-,Cold War,Category:Indo-Pakistani_War_of_1971,https://en.wikipedia.org/wiki/Category:Indo-Pakistani_War_of_1971
-,Cold War,Category:Iran%E2%80%93Contra_affair,https://en.wikipedia.org/wiki/Category:Iran%E2%80%93Contra_affair
?,Cold War,Category:Korean_War_historians,https://en.wikipedia.org/wiki/Category:Korean_War_historians
-,Cold War,Category:Mozambican_War_of_Independence,https://en.wikipedia.org/wiki/Category:Mozambican_War_of_Independence
-,Cold War,Category:North_American_Aerospace_Defense_Command,https://en.wikipedia.org/wiki/Category:North_American_Aerospace_Defense_Command
-,Cold War,Category:North_Korean_abductions_of_Japanese_citizens,https://en.wikipedia.org/wiki/Category:North_Korean_abductions_of_Japanese_citizens
P,Cold War,Category:Nuclear_strategists,https://en.wikipedia.org/wiki/Category:Nuclear_strategists
-,Cold War,Category:Nuclear_weapons_program_of_the_Soviet_Union,https://en.wikipedia.org/wiki/Category:Nuclear_weapons_program_of_the_Soviet_Union
-,Cold War,Category:Occupied_Japan,https://en.wikipedia.org/wiki/Category:Occupied_Japan
-,Cold War,Category:Operation_Condor,https://en.wikipedia.org/wiki/Category:Operation_Condor
-,Cold War,Category:Operation_Gladio,https://en.wikipedia.org/wiki/Category:Operation_Gladio
-,Cold War,Category:Operation_Paperclip,https://en.wikipedia.org/wiki/Category:Operation_Paperclip
-,Cold War,Category:Opposition_to_the_Vietnam_War,https://en.wikipedia.org/wiki/Category:Opposition_to_the_Vietnam_War
-,Cold War,Category:Peace_Corps,https://en.wikipedia.org/wiki/Category:Peace_Corps
?,Cold War,Category:People_of_the_Cold_War,https://en.wikipedia.org/wiki/Category:People_of_the_Cold_War
-,Cold War,Category:Portland_Spy_Ring,https://en.wikipedia.org/wiki/Category:Portland_Spy_Ring
-,Cold War,Category:Prague_Spring,https://en.wikipedia.org/wiki/Category:Prague_Spring
-,Cold War,Category:Propaganda_in_the_Soviet_Union,https://en.wikipedia.org/wiki/Category:Propaganda_in_the_Soviet_Union
-,Cold War,Category:Sino-Indian_War,https://en.wikipedia.org/wiki/Category:Sino-Indian_War
?,Cold War,Category:Soviet_defectors,https://en.wikipedia.org/wiki/Category:Soviet_defectors
P,Cold War,Category:Soviet_spies,https://en.wikipedia.org/wiki/Category:Soviet_spies
?,Cold War,Category:Umkhonto_weSizwe_personnel,https://en.wikipedia.org/wiki/Category:Umkhonto_weSizwe_personnel
?,Cold War,Category:Vietnam_War_historians,https://en.wikipedia.org/wiki/Category:Vietnam_War_historians
-,Cold War,List_of_Cold_War_pilot_defections,https://en.wikipedia.org/wiki/List_of_Cold_War_pilot_defections
-,Cold War,List_of_primary_and_secondary_sources_on_the_Cold_War,https://en.wikipedia.org/wiki/List_of_primary_and_secondary_sources_on_the_Cold_War
C,Communism,Category:20th-century_Freikorps_personnel,https://en.wikipedia.org/wiki/Category:20th-century_Freikorps_personnel
-,Communism,Category:4th_of_August_Regime,https://en.wikipedia.org/wiki/Category:4th_of_August_Regime
C,Communism,Category:Afghan_anti-communists,https://en.wikipedia.org/wiki/Category:Afghan_anti-communists
P,Communism,Category:Afghan_communists,https://en.wikipedia.org/wiki/Category:Afghan_communists
C,Communism,Category:African_anti-communists,https://en.wikipedia.org/wiki/Category:African_anti-communists
C,Communism,Category:Albanian_anti-communists,https://en.wikipedia.org/wiki/Category:Albanian_anti-communists
P,Communism,Category:Albanian_communists,https://en.wikipedia.org/wiki/Category:Albanian_communists
C,Communism,Category:Albanian_Fascist_Party_politicians,https://en.wikipedia.org/wiki/Category:Albanian_Fascist_Party_politicians
P,Communism,Category:Algerian_Communist_Party_politicians,https://en.wikipedia.org/wiki/Category:Algerian_Communist_Party_politicians
C,Communism,Category:All_Nigeria_Peoples_Party_politicians,https://en.wikipedia.org/wiki/Category:All_Nigeria_Peoples_Party_politicians
C,Communism,Category:American_anti-communists,https://en.wikipedia.org/wiki/Category:American_anti-communists
P,Communism,Category:American_Comintern_people,https://en.wikipedia.org/wiki/Category:American_Comintern_people
P,Communism,Category:American_communists,https://en.wikipedia.org/wiki/Category:American_communists
P,Communism,Category:American_communists_of_the_Stalin_era,https://en.wikipedia.org/wiki/Category:American_communists_of_the_Stalin_era
C,Communism,Category:American_fascists,https://en.wikipedia.org/wiki/Category:American_fascists
P,Communism,Category:American_Maoists,https://en.wikipedia.org/wiki/Category:American_Maoists
P,Communism,Category:American_Trotskyists,https://en.wikipedia.org/wiki/Category:American_Trotskyists
P,Communism,Category:Anarchist_communists,https://en.wikipedia.org/wiki/Category:Anarchist_communists
C,Communism,Category:Angolan_anti-communists,https://en.wikipedia.org/wiki/Category:Angolan_anti-communists
P,Communism,Category:Angolan_communists,https://en.wikipedia.org/wiki/Category:Angolan_communists
-,Communism,Category:Anti-communism_in_the_United_States,https://en.wikipedia.org/wiki/Category:Anti-communism_in_the_United_States
P,Communism,Category:Anti-Revisionists,https://en.wikipedia.org/wiki/Category:Anti-Revisionists
C,Communism,Category:Argentine_anti-communists,https://en.wikipedia.org/wiki/Category:Argentine_anti-communists
P,Communism,Category:Argentine_communists,https://en.wikipedia.org/wiki/Category:Argentine_communists
C,Communism,Category:Argentine_fascists,https://en.wikipedia.org/wiki/Category:Argentine_fascists
P,Communism,Category:Argentine_Trotskyists,https://en.wikipedia.org/wiki/Category:Argentine_Trotskyists
P,Communism,Category:Armenian_communists,https://en.wikipedia.org/wiki/Category:Armenian_communists
C,Communism,Category:Armia_Krajowa_members,https://en.wikipedia.org/wiki/Category:Armia_Krajowa_members
C,Communism,Category:Australian_anti-communists,https://en.wikipedia.org/wiki/Category:Australian_anti-communists
P,Communism,Category:Australian_communists,https://en.wikipedia.org/wiki/Category:Australian_communists
P,Communism,Category:Australian_Trotskyists,https://en.wikipedia.org/wiki/Category:Australian_Trotskyists
C,Communism,Category:Austrian_anti-communists,https://en.wikipedia.org/wiki/Category:Austrian_anti-communists
P,Communism,Category:Austrian_communists,https://en.wikipedia.org/wiki/Category:Austrian_communists
-,Communism,Category:Autonomism,https://en.wikipedia.org/wiki/Category:Autonomism
P,Communism,Category:Azerbaijan_Communist_Party_politicians,https://en.wikipedia.org/wiki/Category:Azerbaijan_Communist_Party_politicians
C,Communism,Category:Azerbaijani_anti-communists,https://en.wikipedia.org/wiki/Category:Azerbaijani_anti-communists
P,Communism,Category:Azerbaijani_communists,https://en.wikipedia.org/wiki/Category:Azerbaijani_communists
C,Communism,Category:Belarusian_anti-communists,https://en.wikipedia.org/wiki/Category:Belarusian_anti-communists
C,Communism,Category:Belgian_anti-communists,https://en.wikipedia.org/wiki/Category:Belgian_anti-communists
P,Communism,Category:Belgian_communists,https://en.wikipedia.org/wiki/Category:Belgian_communists
C,Communism,Category:Belgian_fascists,https://en.wikipedia.org/wiki/Category:Belgian_fascists
P,Communism,Category:Bengali_communists,https://en.wikipedia.org/wiki/Category:Bengali_communists
C,Communism,Category:Brazilian_anti-communists,https://en.wikipedia.org/wiki/Category:Brazilian_anti-communists
P,Communism,Category:Brazilian_Communist_Party_politicians,https://en.wikipedia.org/wiki/Category:Brazilian_Communist_Party_politicians
P,Communism,Category:Brazilian_communists,https://en.wikipedia.org/wiki/Category:Brazilian_communists
C,Communism,Category:British_anti-communists,https://en.wikipedia.org/wiki/Category:British_anti-communists
P,Communism,Category:British_communists,https://en.wikipedia.org/wiki/Category:British_communists
C,Communism,Category:British_fascists,https://en.wikipedia.org/wiki/Category:British_fascists
P,Communism,Category:British_Trotskyists,https://en.wikipedia.org/wiki/Category:British_Trotskyists
C,Communism,Category:Bulgarian_anti-communists,https://en.wikipedia.org/wiki/Category:Bulgarian_anti-communists
P,Communism,Category:Bulgarian_Comintern_people,https://en.wikipedia.org/wiki/Category:Bulgarian_Comintern_people
P,Communism,Category:Bulgarian_Communist_Party_politicians,https://en.wikipedia.org/wiki/Category:Bulgarian_Communist_Party_politicians
P,Communism,Category:Bulgarian_communists,https://en.wikipedia.org/wiki/Category:Bulgarian_communists
C,Communism,Category:Burials_at_Novo-Diveevo_Russian_Cemetery,https://en.wikipedia.org/wiki/Category:Burials_at_Novo-Diveevo_Russian_Cemetery
C,Communism,Category:Cambodian_anti-communists,https://en.wikipedia.org/wiki/Category:Cambodian_anti-communists
P,Communism,Category:Cambodian_communists,https://en.wikipedia.org/wiki/Category:Cambodian_communists
C,Communism,Category:Canadian_anti-communists,https://en.wikipedia.org/wiki/Category:Canadian_anti-communists
P,Communism,Category:Canadian_communists,https://en.wikipedia.org/wiki/Category:Canadian_communists
C,Communism,Category:Canadian_fascists,https://en.wikipedia.org/wiki/Category:Canadian_fascists
P,Communism,Category:Canadian_Trotskyists,https://en.wikipedia.org/wiki/Category:Canadian_Trotskyists
P,Communism,Category:Central_Committee_of_the_Communist_Party_of_the_Soviet_Union_candidate_members,https://en.wikipedia.org/wiki/Category:Central_Committee_of_the_Communist_Party_of_the_Soviet_Union_candidate_members
P,Communism,Category:Central_Committee_of_the_Communist_Party_of_the_Soviet_Union_members,https://en.wikipedia.org/wiki/Category:Central_Committee_of_the_Communist_Party_of_the_Soviet_Union_members
P,Communism,Category:Central_Committee_of_the_League_of_Communists_of_Yugoslavia_members,https://en.wikipedia.org/wiki/Category:Central_Committee_of_the_League_of_Communists_of_Yugoslavia_members
-,Communism,Category:Central_Intelligence_Agency,https://en.wikipedia.org/wiki/Category:Central_Intelligence_Agency
P,Communism,Category:Central_Party_School_of_the_Communist_Party_of_China_alumni,https://en.wikipedia.org/wiki/Category:Central_Party_School_of_the_Communist_Party_of_China_alumni
P,Communism,"Category:Chairmen_of_the_Council_of_People's_Commissars,_Tajikistan","https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Council_of_People's_Commissars,_Tajikistan"
C,Communism,Category:Chetniks,https://en.wikipedia.org/wiki/Category:Chetniks
P,Communism,Category:Chief_ministers_from_Communist_Party_of_India_(Marxist),https://en.wikipedia.org/wiki/Category:Chief_ministers_from_Communist_Party_of_India_(Marxist)
C,Communism,Category:Chilean_anti-communists,https://en.wikipedia.org/wiki/Category:Chilean_anti-communists
P,Communism,Category:Chilean_communists,https://en.wikipedia.org/wiki/Category:Chilean_communists
C,Communism,Category:Chinese_anti-communists,https://en.wikipedia.org/wiki/Category:Chinese_anti-communists
P,Communism,Category:Chinese_communists,https://en.wikipedia.org/wiki/Category:Chinese_communists
P,Communism,Category:Christian_communists,https://en.wikipedia.org/wiki/Category:Christian_communists
?,Communism,Category:COINTELPRO_targets,https://en.wikipedia.org/wiki/Category:COINTELPRO_targets
P,Communism,Category:Colombian_Communist_Party_politicians,https://en.wikipedia.org/wiki/Category:Colombian_Communist_Party_politicians
P,Communism,Category:Colombian_communists,https://en.wikipedia.org/wiki/Category:Colombian_communists
P,Communism,Category:Comintern_people,https://en.wikipedia.org/wiki/Category:Comintern_people
C,Communism,Category:Commanders_of_the_Ukrainian_Insurgent_Army,https://en.wikipedia.org/wiki/Category:Commanders_of_the_Ukrainian_Insurgent_Army
C,Communism,Category:Common_Man's_Front_politicians,https://en.wikipedia.org/wiki/Category:Common_Man's_Front_politicians
-,Communism,Category:Communism_in_Mongolia,https://en.wikipedia.org/wiki/Category:Communism_in_Mongolia
-,Communism,Category:Communism_in_Yemen,https://en.wikipedia.org/wiki/Category:Communism_in_Yemen
P,Communism,Category:Communist_government_ministers_of_Afghanistan,https://en.wikipedia.org/wiki/Category:Communist_government_ministers_of_Afghanistan
P,Communism,Category:Communist_League_of_West_Germany_politicians,https://en.wikipedia.org/wiki/Category:Communist_League_of_West_Germany_politicians
P,Communism,Category:Communist_Party_of_Armenia_(Soviet_Union)_politicians,https://en.wikipedia.org/wiki/Category:Communist_Party_of_Armenia_(Soviet_Union)_politicians
P,Communism,Category:Communist_Party_of_Bohemia_and_Moravia_MEPs,https://en.wikipedia.org/wiki/Category:Communist_Party_of_Bohemia_and_Moravia_MEPs
P,Communism,Category:Communist_Party_of_Britain_members,https://en.wikipedia.org/wiki/Category:Communist_Party_of_Britain_members
P,Communism,Category:Communist_Party_of_Burma_politicians,https://en.wikipedia.org/wiki/Category:Communist_Party_of_Burma_politicians
P,Communism,Category:Communist_Party_of_Byelorussia_politicians,https://en.wikipedia.org/wiki/Category:Communist_Party_of_Byelorussia_politicians
P,Communism,Category:Communist_Party_of_Canada_(Manitoba)_candidates_in_Manitoba_provincial_elections,https://en.wikipedia.org/wiki/Category:Communist_Party_of_Canada_(Manitoba)_candidates_in_Manitoba_provincial_elections
P,Communism,Category:Communist_Party_of_Canada_(Ontario)_candidates_in_Ontario_provincial_elections,https://en.wikipedia.org/wiki/Category:Communist_Party_of_Canada_(Ontario)_candidates_in_Ontario_provincial_elections
P,Communism,Category:Communist_Party_of_Canada_candidates_in_the_1935_Canadian_federal_election,https://en.wikipedia.org/wiki/Category:Communist_Party_of_Canada_candidates_in_the_1935_Canadian_federal_election
P,Communism,Category:Communist_Party_of_Canada_candidates_in_the_1974_Canadian_federal_election,https://en.wikipedia.org/wiki/Category:Communist_Party_of_Canada_candidates_in_the_1974_Canadian_federal_election
